Date,High,Low,Open,Close,Volume,Adj Close
2020-01-02,68.40699768066406,67.07749938964844,67.07749938964844,68.36849975585938,28132000,68.36849975585938
2020-01-03,68.625,67.2771987915039,67.39299774169922,68.03299713134766,23728000,68.03299713134766
2020-01-06,69.82499694824219,67.5,67.5,69.71050262451172,34646000,69.71050262451172
2020-01-07,70.14949798583984,69.51899719238281,69.89700317382812,69.66699981689453,30054000,69.66699981689453
2020-01-08,70.5790023803711,69.54199981689453,69.60399627685547,70.21600341796875,30560000,70.21600341796875
2020-01-09,71.36650085449219,70.51349639892578,71.02850341796875,70.99150085449219,30018000,70.99150085449219
2020-01-10,71.74645233154297,70.9175033569336,71.37799835205078,71.48650360107422,36414000,71.48650360107422
2020-01-13,72.0260009765625,71.3010025024414,71.80650329589844,71.96150207519531,33046000,71.96150207519531
2020-01-14,72.08999633789062,71.41850280761719,71.95050048828125,71.54399871826172,31178000,71.54399871826172
2020-01-15,72.06974792480469,71.510498046875,71.510498046875,71.95999908447266,25654000,71.95999908447266
2020-01-16,72.59950256347656,72.0459976196289,72.37200164794922,72.58499908447266,23474000,72.58499908447266
2020-01-17,74.06475067138672,72.91100311279297,73.14550018310547,74.01950073242188,47924000,74.01950073242188
2020-01-21,74.59249877929688,73.55999755859375,73.95600128173828,74.22000122070312,40734000,74.22000122070312
2020-01-22,75.16069793701172,74.24649810791016,74.55000305175781,74.29750061035156,32216000,74.29750061035156
2020-01-23,74.7760009765625,74.1050033569336,74.38200378417969,74.3324966430664,27024000,74.3324966430664
2020-01-24,74.77474975585938,73.26249694824219,74.67949676513672,73.33550262451172,35692000,73.33550262451172
2020-01-27,71.90350341796875,71.05999755859375,71.55000305175781,71.69499969482422,35104000,71.69499969482422
2020-01-28,72.80000305175781,71.62349700927734,72.1500015258789,72.62799835205078,31548000,72.62799835205078
2020-01-29,73.27149963378906,72.33699798583984,72.94000244140625,72.93150329589844,21554000,72.93150329589844
2020-01-30,72.86399841308594,71.81999969482422,71.99800109863281,72.79199981689453,26788000,72.79199981689453
2020-01-31,73.50650024414062,71.42649841308594,73.44499969482422,71.71150207519531,48344000,71.71150207519531
2020-02-03,74.5,72.94950103759766,73.0999984741211,74.2969970703125,60736000,74.2969970703125
2020-02-04,73.4749984741211,71.31500244140625,72.85350036621094,72.35350036621094,78660000,72.35350036621094
2020-02-05,73.19200134277344,71.52799987792969,73.12100219726562,72.4114990234375,39724000,72.4114990234375
2020-02-06,74.0999984741211,72.47850036621094,72.5165023803711,73.8115005493164,33588000,73.8115005493164
2020-02-07,74.29199981689453,73.31749725341797,73.36499786376953,73.96150207519531,23446000,73.96150207519531
2020-02-10,75.4749984741211,73.71600341796875,73.71600341796875,75.43399810791016,28398000,75.43399810791016
2020-02-11,76.48149871826172,75.28189849853516,75.59049987792969,75.43949890136719,26892000,75.43949890136719
2020-02-12,76.03475189208984,75.40550231933594,75.7239990234375,75.91349792480469,23352000,75.91349792480469
2020-02-13,76.35900115966797,75.2300033569336,75.6344985961914,75.73300170898438,18590000,75.73300170898438
2020-02-14,76.03700256347656,75.36699676513672,75.77999877929688,76.03700256347656,23956000,76.03700256347656
2020-02-18,76.58149719238281,75.62950134277344,75.75,75.9834976196289,22414000,75.9834976196289
2020-02-19,76.60530090332031,76.06999969482422,76.25350189208984,76.33450317382812,18986000,76.33450317382812
2020-02-20,76.48200225830078,75.34100341796875,76.0999984741211,75.90750122070312,21932000,75.90750122070312
2020-02-21,75.61074829101562,74.02200317382812,75.40149688720703,74.25550079345703,34634000,74.25550079345703
